TeamA;TeamB;ScoreA;ScoreB;MatchStatus;Goalkeeper;Period;TSegment;T;Typeofattack;Locationpass;Bodypartpass;Playerwhoshoot;Jump;Drop;Movement;Dive;Technicalaction;Zonegkintervention;Zoneofthgoal;Fieldzoneshots;Bodypartshots;Goal
5;2;1;0;1;1;1;1;0:04:49;2;0;0;1;0;0;2;0;0;1;11;15;2;0
5;2;2;0;-1;2;2;4;0:01:26;3;14;1;1;0;0;2;0;0;1;11;6;2;0
5;2;2;0;-1;2;2;6;0:12:29;3;2;2;2;0;0;2;0;0;1;11;10;3;0
6;7;0;0;0;2;1;1;0:01:04;1;2;1;1;0;0;3;0;0;1;11;9;1;0
6;7;1;0;1;1;2;4;0:04:12;2;2;1;1;0;0;2;0;0;1;11;6;2;0
6;7;1;0;1;1;2;5;0:07:54;1;4;2;1;0;0;2;0;0;1;11;5;2;0
6;9;0;0;0;1;1;2;0:08:48;3;0;0;1;0;0;2;0;0;1;11;12;3;0
6;9;0;0;0;2;2;4;0:03:03;3;2;1;1;0;0;2;0;0;1;11;9;2;0
6;9;1;2;1;2;2;6;0:12:55;2;19;2;1;0;0;5;0;0;2;11;12;1;0
6;10;0;0;0;2;1;3;0:16:00;3;18;2;1;1;0;2;0;0;2;11;5;3;0
7;8;0;0;0;2;2;4;0:04:15;3;1;4;1;0;0;3;0;0;1;11;12;1;0
7;10;0;0;0;1;1;3;0:14:19;3;18;2;1;0;0;2;0;0;1;11;10;3;0
7;10;0;0;0;2;2;4;0:00:49;3;3;1;0;0;0;2;0;0;1;11;0;0;0
8;6;2;1;-1;2;2;5;0:08:58;3;0;0;1;1;0;2;0;0;1;11;9;2;0
8;6;2;1;1;1;2;6;0:10:12;3;18;2;1;0;0;3;0;0;1;11;9;3;0
9;7;1;0;1;1;2;5;0:07:40;3;18;2;0;0;0;3;0;0;1;11;0;0;0
9;7;1;0;1;1;2;5;0:08:21;2;2;1;1;0;0;4;0;0;1;11;6;2;0
9;7;1;0;-1;2;2;6;0:10:50;2;6;2;1;0;0;5;0;0;2;11;12;1;0
9;7;1;0;1;1;2;6;0:11:57;3;3;2;1;0;0;3;0;0;2;11;7;3;0
10;9;0;1;-1;1;2;4;0:04:47;1;2;1;1;0;0;2;0;0;1;11;12;2;0
11;12;2;1;-1;2;2;4;0:02:00;1;2;2;1;0;0;2;0;0;1;11;9;1;0
11;14;4;1;-1;2;2;6;0:13:44;3;14;1;1;0;0;2;0;0;2;11;8;1;0
12;15;0;3;1;2;2;6;0:14:14;3;0;0;1;0;0;2;0;0;1;11;6;1;0
13;11;0;1;-1;1;1;2;0:08:20;1;18;1;1;0;0;2;0;0;1;11;10;3;0
13;15;0;1;1;2;1;3;0:12:29;3;2;1;1;0;0;2;0;0;1;11;12;1;0
15;14;1;1;0;1;2;4;0:00:35;1;1;2;1;0;0;2;0;0;1;11;9;1;0
15;14;2;2;0;1;2;5;0:07:41;1;1;1;1;0;0;3;0;0;1;11;9;1;0
16;17;0;0;0;2;1;2;0:05:26;1;17;1;1;0;0;2;0;0;1;11;6;2;0
16;17;0;0;0;2;1;3;0:11:49;3;0;0;1;0;0;2;0;0;1;11;9;2;0
17;18;0;0;0;1;1;2;0:09:19;1;2;2;1;0;0;3;0;0;1;11;12;1;0
18;16;1;1;0;1;2;4;0:01:49;1;6;1;1;0;0;2;0;0;1;11;12;2;0
18;16;1;2;1;2;2;6;0:15:19;3;14;1;0;0;0;2;0;0;1;11;0;0;0
1;4;0;0;0;2;2;6;0:10:03;3;18;1;1;0;0;2;0;0;1;11;4;4;0
3;4;0;0;0;1;1;1;0:04:51;1;3;1;1;0;0;1;0;0;1;11;8;3;0
11;15;2;1;-1;2;2;4;0:02:00;1;2;2;1;0;0;2;0;0;1;11;9;1;0
16;17;0;0;0;2;2;4;0:02:48;3;0;0;1;0;0;3;0;0;1;11;14;2;0
16;17;0;0;0;1;2;5;0:08:39;3;0;0;1;0;0;2;0;0;1;11;9;2;0
16;19;0;0;0;1;2;4;0:04:13;2;0;0;1;0;0;3;0;0;2;11;12;1;0
17;18;0;1;-1;1;2;5;0:06:32;1;2;1;1;0;0;2;0;0;1;11;9;2;0
1;4;0;0;0;2;1;2;0:05:51;3;0;0;1;1;0;3;0;0;1;10;1;1;0
1;4;0;0;0;1;2;4;0:04:05;3;18;2;1;0;0;3;0;0;1;10;11;2;0
1;5;0;0;0;1;1;3;0:11:00;1;2;1;1;1;0;1;0;0;2;10;9;1;0
2;1;0;1;1;2;1;2;0:05:59;1;2;2;1;0;0;8;0;0;1;10;16;1;0
2;1;0;1;1;2;2;5;0:07:38;3;0;0;1;1;0;8;0;0;1;10;12;2;0
3;1;0;3;-1;1;2;4;0:03:51;1;2;1;1;0;0;5;0;0;2;10;11;1;0
3;4;0;0;0;2;1;2;0:07:58;3;0;0;1;0;0;2;0;0;1;10;9;2;0
3;4;0;1;1;2;2;5;0:07:58;3;0;0;1;0;0;2;0;0;1;10;9;2;0
5;2;2;0;-1;2;2;5;0:09:09;1;3;1;1;1;0;3;0;0;1;10;11;1;0
5;2;2;0;-1;2;2;6;0:10:21;3;0;0;1;0;0;1;0;0;1;10;9;2;0
6;9;0;0;0;1;1;1;0:04:50;1;3;1;0;1;0;8;0;0;1;10;0;0;0
6;9;0;0;0;1;1;2;0:09:13;3;14;1;1;1;0;3;0;0;1;10;12;1;0
6;9;0;0;0;1;2;4;0:02:16;1;2;3;1;0;0;6;0;0;1;10;9;1;0
6;9;0;0;0;2;2;5;0:05:45;1;2;1;1;0;0;3;0;0;1;10;9;1;0
7;8;1;1;0;2;2;6;0:11:34;3;13;1;1;0;0;3;0;0;1;10;12;1;0
7;10;0;0;0;2;1;1;0:01:28;3;2;1;1;0;0;4;0;0;1;10;8;3;0
7;10;0;0;0;2;1;1;0:03:25;3;10;3;1;0;0;8;0;0;1;10;8;3;0
7;10;0;0;0;2;2;5;0:05:43;3;18;2;1;0;0;2;0;0;2;10;5;3;0
8;6;0;1;-1;1;1;3;0:12:03;3;1;4;1;1;0;3;0;0;1;10;6;1;0
